	current	rms_bunch_length	rms_energy_spread
0	0.0	9e-12	0.0008547
1	0.4	1.10992228561312e-11	0.0008552492565289733
2	0.6	1.1918306970300603e-11	0.0008556779201421821
3	0.8	1.2609327850549489e-11	0.0008547176531015349
4	1.0	1.3222141265960522e-11	0.0008553246258500918
5	1.2	1.3765658689323201e-11	0.0008547073108884704
6	1.4	1.4266407222725262e-11	0.0008548557499361901
7	1.5999999999999999	1.472757830623185e-11	0.0008551273543171298
8	1.8	1.5158554376704108e-11	0.0008554979951810182
9	1.9999999999999996	1.556484165530584e-11	0.000855877309343505
10	2.1999999999999997	1.594808030418952e-11	0.0008559961269663656
11	2.4	1.6312881077670055e-11	0.0008568262627052239
12	2.6000000000000005	1.666070240795655e-11	0.0008573131775101604
13	2.8	1.699570851900681e-11	0.0008586035390049992
14	3.0	1.7312994704815338e-11	0.0008587826382572634
15	3.1999999999999997	1.761783917239609e-11	0.0008604168310552846
16	3.4	1.7922683639976844e-11	0.0008620510238533058
17	3.6000000000000005	1.8218792615025846e-11	0.000868954022308283
18	3.8	1.8524639078839977e-11	0.00087585702076326
19	4.0	1.8821344359067743e-11	0.0008825847492403996
20	4.2	1.9131686428155726e-11	0.0008941971527641442
21	4.3999999999999995	1.940838181019562e-11	0.0009065196459343072
22	4.6	1.9714472864680256e-11	0.000922808623833253
23	4.8	1.999918387385077e-11	0.0009407662284185245
24	5.0	2.028389488302128e-11	0.000958723833003796
25	5.200000000000001	2.0574909983026144e-11	0.0009750231751699415
26	5.3999999999999995	2.0802382245633148e-11	0.0009787367294278354
27	5.6	2.106446710457205e-11	0.0009963146771093763
28	5.8	2.1326551963510952e-11	0.0010138926247909169
29	6.0	2.1570511115544127e-11	0.0010262659650949397
30	6.2	2.1854735238987556e-11	0.0010495495137774068
31	6.3999999999999995	2.20618515416647e-11	0.0010565589884999824
32	6.6	2.2309943372273767e-11	0.0010751409880774994
33	6.8	2.2525574310991224e-11	0.0010804371317701537
34	7.0	2.2749954827431263e-11	0.0010929702421140664
