                 0.1 0.000991944229015782     5016882.59090671
          4340000000     8047.51750433843    -68118.7471438541
          4350000000     7991.65337880412    -67806.0344357699
          4360000000     7936.30619478848    -67495.4693433346
          4370000000     7881.46997474336    -67187.0322570322
          4380000000     7827.13882403103    -66880.7037904726
          4390000000     7773.30692958318    -66576.4647773543
          4400000000     7719.96855858474    -66274.2962684769
          4410000000      7667.1180571819    -65974.1795287995
          4420000000     7614.74984921396    -65676.0960345459
          4430000000     7562.85843496838    -65380.0274703551
          4440000000     7511.43838995864     -65085.955726477
          4450000000      7460.4843637244    -64793.8628960108
          4460000000     7409.99107865358    -64503.7312721883
          4470000000      7359.9533288257    -64215.5433456975
          4480000000     7310.36597887643    -63929.2818020495
          4490000000      7261.2239628824    -63644.9295189851
          4500000000     7212.52228326638     -63362.469563922
          4510000000     7164.25600972205    -63081.8851914415
          4520000000     7116.42027815812    -62803.1598408139
          4530000000     7069.01028966136    -62526.2771335612
          4540000000     7022.02130947825    -62251.2208710587
          4550000000     6975.44866601466    -61977.9750321716
          4560000000     6929.28774985353    -61706.5237709291
          4570000000     6883.53401278982    -61436.8514142328
          4580000000     6838.18296688271    -61168.9424596012
          4590000000     6793.23018352446    -60902.7815729473
          4600000000     6748.67129252575    -60638.3535863901
          4610000000     6704.50198121715       -60375.6434961
          4620000000      6660.7179935663    -60114.6364601755
          4630000000     6617.31512931062    -59855.3177965526
          4640000000     6574.28924310518    -59597.6729809455
          4650000000     6531.63624368544    -59341.6876448179
          4660000000     6489.35209304456    -59087.3475733846
          4670000000     6447.43280562503    -58834.6387036436
          4680000000     6405.87444752425    -58583.5471224366
          4690000000     6364.67313571394    -58334.0590645386
          4700000000     6323.82503727294    -58086.1609107765
          4710000000     6283.32636863332    -57839.8391861744
          4720000000     6243.17339483934    -57595.0805581269
          4730000000     6203.36242881916    -57351.8718345997
          4740000000     6163.88983066908    -57110.1999623557
          4750000000     6124.75200694987    -56870.0520252079
          4760000000      6085.9454099952    -56631.4152422979
          4770000000     6047.46653723177    -56394.2769663985
          4780000000     6009.31193051099    -56158.6246822426
          4790000000     5971.47817545196    -55924.4460048754
          4800000000      5933.9619007956    -55691.7286780305
          4810000000     5896.75977776958    -55460.4605725303
          4820000000     5859.86851946398    -55230.6296847087
          4830000000     5823.28488021746    -55002.2241348569
          4840000000     5787.00565501365    -54775.2321656917
          4850000000     5751.02767888767     -54549.642140846
          4860000000      5715.3478263425    -54325.4425433799
          4870000000     5679.96301077515    -54102.6219743148
          4880000000     5644.87018391224    -53881.1691511867
          4890000000     5610.06633525505    -53661.0729066216
          4900000000     5575.54849153368    -53442.3221869301
          4910000000     5541.31371617024    -53224.9060507225
          4920000000     5507.35910875084    -53008.8136675437
          4930000000     5473.68180450634    -52794.0343165264
          4940000000     5440.27897380156    -52580.5573850647
          4950000000     5407.14782163284    -52368.3723675056
          4960000000     5374.28558713381    -52157.4688638588
          4970000000      5341.6895430893    -51947.8365785246
          4980000000       5309.356995457    -51739.4653190406
          4990000000     5277.28528289704    -51532.3449948444
          5000000000     5245.47177630908    -51326.4656160545
          5010000000     5213.91387837693    -51121.8172922682
          5020000000     5182.60902312055    -50918.3902313756
          5030000000     5151.55467545517    -50716.1747383908
          5040000000     5120.74833075759    -50515.1612142987
          5050000000     5090.18751443935    -50315.3401549177
          5060000000     5059.86978152682    -50116.7021497788
          5070000000     5029.79271624791    -49919.2378810192
          5080000000     4999.95393162544    -49722.9381222917
          5090000000     4970.35106907691    -49527.7937376886
          5100000000     4940.98179802065    -49333.7956806811
          5110000000     4911.84381548826     -49140.934993072
          5120000000      4882.9348457431    -48949.2028039641
          5130000000     4854.25263990482    -48758.5903287409
          5140000000     4825.79497557986     -48569.088868063
          5150000000     4797.55965649767    -48380.6898068764
          5160000000     4769.54451215267    -48193.3846134358
          5170000000     4741.74739745189    -48007.1648383394
          5180000000     4714.16619236795    -47822.0221135784
          5190000000     4686.79880159763    -47637.9481515978
          5200000000     4659.64315422563    -47454.9347443707
          5210000000     4632.69720339359     -47272.973762485
          5220000000     4605.95892597427    -47092.0571542415
          5230000000     4579.42632225071    -46912.1769447651
          5240000000     4553.09741560041    -46733.3252351272
          5250000000     4526.97025218432    -46555.4942014795
          5260000000     4501.04290064064    -46378.6760942003
          5270000000     4475.31345178332     -46202.863237051
          5280000000      4449.7800183052    -46028.0480263445
          5290000000     4424.44073448561    -45854.2229301242
          5300000000     4399.29375590254     -45681.380487354
          5310000000     4374.33725914913    -45509.5133071186
          5320000000     4349.56944155445    -45338.6140678348
          5330000000     4324.98852090859     -45168.675516473
          5340000000     4300.59273519185    -44999.6904677883
          5350000000     4276.38034230805    -44831.6518035625
          5360000000     4252.34961982186    -44664.5524718553
          5370000000     4228.49886470007    -44498.3854862657
          5380000000     4204.82639305678    -44333.1439252025
          5390000000      4181.3305399024    -44168.8209311648
          5400000000     4158.00965889638    -44005.4097100312
          5410000000     4134.86212210366    -43842.9035303587
          5420000000     4111.88631975478    -43681.2957226905
          5430000000     4089.08066000949    -43520.5796788723
          5440000000     4066.44356872396    -43360.7488513779
          5450000000     4043.97348922136    -43201.7967526432
          5460000000     4021.66888206588    -43043.7169544087
          5470000000     3999.52822484011    -42886.5030870704
          5480000000     3977.55001192564     -42730.148839039
          5490000000     3955.73275428695    -42574.6479561073
