	current	rms_bunch_length	rms_energy_spread
0	0.0	6.2e-11	0.0008547
0	0.2	6.155e-11	0.0008547
1	0.4	6.109223122465314e-11	0.000854805848027828
2	0.6	6.098001562769593e-11	0.0008549362908987304
3	0.8	6.091649578792523e-11	0.0008545223712183485
4	1.0	6.08867775257054e-11	0.0008544969357832759
5	1.2	6.087722372620806e-11	0.0008546615246961842
6	1.4	6.086875952027372e-11	0.0008539330223473167
7	1.5999999999999999	6.090016853464078e-11	0.0008545982174362454
8	1.8	6.09374787709018e-11	0.0008546721975159578
9	1.9999999999999996	6.097683755112411e-11	0.0008542416901396851
10	2.1999999999999997	6.103250456883761e-11	0.0008547920300456426
11	2.4	6.108013258945982e-11	0.0008545293917830172
12	2.6000000000000005	6.11497040590533e-11	0.0008549191357905265
13	2.8	6.121930791670825e-11	0.0008547436922168014
14	3.0	6.129003767308019e-11	0.0008548533823437125
15	3.1999999999999997	6.136753504022196e-11	0.0008547686456550355
16	3.4	6.144687257682667e-11	0.0008548755315761873
17	3.6000000000000005	6.152676730166072e-11	0.0008546663609631161
18	3.8	6.161120222208794e-11	0.0008549786186115043
19	4.0	6.169730908720612e-11	0.0008553996716432961
20	4.2	6.178579513491844e-11	0.0008552873725979552
21	4.3999999999999995	6.186331376251787e-11	0.0008549619214900197
22	4.6	6.196350782701948e-11	0.000855314070417587
23	4.8	6.205393140807117e-11	0.0008556552071272552
24	5.0	6.214131671761743e-11	0.0008556658142871179
25	5.200000000000001	6.223026604039164e-11	0.0008555064807149165
26	5.3999999999999995	6.233304956262895e-11	0.0008559441716721789
27	5.6	6.242449939379579e-11	0.0008559571210427554
28	5.8	6.251792755410755e-11	0.0008557749504527741
29	6.0	6.261245896067039e-11	0.0008562300133742577
30	6.2	6.270346382246576e-11	0.0008562422084873503
31	6.3999999999999995	6.279158692911111e-11	0.0008566698503753324
32	6.6	6.289321155237232e-11	0.0008571128964874076
33	6.8	6.298724506462377e-11	0.0008572573720095916
34	7.0	6.308511535310856e-11	0.0008576855458860898
