	BunchCurrent	eigvals_re	eigvals_im	Qp	FinalBunchLength	BunchLength
0	0.0001	-0.00013912940164143947	-2.600176586656996e-05	0.0		9e-12
1	0.0001	-2.233091140300171e-05	-5.731258077123363e-07	0.0		9e-12
2	0.0001	-1.0277664051721776e-05	-1.6053668137719884e-07	0.0		9e-12
3	0.0001	-4.649644581482004e-06	-8.420845952384291e-08	0.0		9e-12
4	0.0001	-1.6494784668864001e-06	-3.165330740110502e-08	0.0		9e-12
5	0.0001	-4.330927620319879e-07	-8.10668378378566e-09	0.0		9e-12
6	0.0001	-8.783974515870417e-08	-1.5887718156596838e-09	0.0		9e-12
7	0.0001	-0.003616428286432353	-4.300205122569724e-10	0.0		9e-12
8	0.0001	0.0035838300994495277	-3.689454731490285e-10	0.0		9e-12
9	0.0001	-0.003608538132735896	-2.391630838447769e-10	0.0		9e-12
10	0.0001	-1.3712611037579363e-08	-2.261679280691949e-10	0.0		9e-12
11	0.0001	0.0035915370960203676	-2.170762391589976e-10	0.0		9e-12
12	0.0001	0.0017699793988988632	-2.072913617803745e-10	0.0		9e-12
13	0.0001	0.0017870965091907498	-1.560487480107698e-10	0.0		9e-12
14	0.0001	0.0017974062353211988	-1.4435985632319084e-10	0.0		9e-12
15	0.0001	-0.001802594141783434	-1.42329909725887e-10	0.0		9e-12
16	0.0001	-0.001812938453059401	-1.216485799180469e-10	0.0		9e-12
17	0.0001	0.0017935510079230802	-9.382596716698203e-11	0.0		9e-12
18	0.0001	-0.0036039597323269655	-9.196091644612982e-11	0.0		9e-12
19	0.0001	-0.0018064556612963857	-8.366781980299855e-11	0.0		9e-12
20	0.0001	0.0035960676927037022	-8.1567899001875e-11	0.0		9e-12
21	0.0001	0.0017992031819295856	-7.24448817986907e-11	0.0		9e-12
22	0.0001	-0.0018007966370278737	-7.229969945149472e-11	0.0		9e-12
23	0.0001	-0.005402380235993732	-5.191214967992067e-11	0.0		9e-12
24	0.0001	0.005397633169354063	-5.1835324944843844e-11	0.0		9e-12
25	0.0001	-1.639406014681887e-09	-2.4380820745788495e-11	0.0		9e-12
26	0.0001	-0.005410655334617636	-2.1543597056729422e-11	0.0		9e-12
27	0.0001	0.005389492621003561	-2.0326585544732405e-11	0.0		9e-12
28	0.0001	-0.00720740765748118	-1.991208487037188e-11	0.0		9e-12
29	0.0001	0.00719267079255226	-1.9520275235276692e-11	0.0		9e-12
30	0.0001	-0.007201412480661113	-1.9236050009402233e-11	0.0		9e-12
31	0.0001	0.007198594480809878	-1.8535432207010186e-11	0.0		9e-12
32	0.0001	-0.007200405992327148	-1.6948019642979924e-11	0.0		9e-12
33	0.0001	0.0071995953252214735	-1.682886434194011e-11	0.0		9e-12
34	0.0001	-0.0018001903591026184	-1.6654355789398336e-11	0.0		9e-12
35	0.0001	0.0017998095902976043	-1.6609494142360187e-11	0.0		9e-12
36	0.0001	-0.0036003999657348157	-1.4737943252034414e-11	0.0		9e-12
37	0.0001	0.0035996017092416142	-1.3326114132589208e-11	0.0		9e-12
38	0.0001	-0.005405671759424681	-1.169866642781389e-11	0.0		9e-12
39	0.0001	0.0053943793703192305	-1.0887777379010733e-11	0.0		9e-12
40	0.0001	0.005399230037719496	-9.423660734193409e-12	0.0		9e-12
41	0.0001	-0.0036014527173463054	-9.243455613650438e-12	0.0		9e-12
42	0.0001	-0.005400772608279547	-9.066034413300529e-12	0.0		9e-12
43	0.0001	-0.00360008580818678	-6.294140875527626e-12	0.0		9e-12
44	0.0001	0.0035999144856922447	-6.0076308704900825e-12	0.0		9e-12
45	0.0001	0.003598555200997356	-4.7010651441312455e-12	0.0		9e-12
46	0.0001	0.007199907603679261	-2.7001938705489725e-12	0.0		9e-12
47	0.0001	-0.007200092617256089	-2.6993777647249927e-12	0.0		9e-12
48	0.0001	-0.0018000346142305892	-2.2101647815585037e-12	0.0		9e-12
49	0.0001	0.0017999653776150139	-2.1930223925173226e-12	0.0		9e-12
50	0.0001	-1.5133341427379123e-10	-2.0436649752138224e-12	0.0		9e-12
51	0.0001	-0.0036000143767842712	-1.5747391048190281e-12	0.0		9e-12
52	0.0001	0.003599985662795045	-1.5363390615091943e-12	0.0		9e-12
53	0.0001	0.007199983576283417	-2.102560826265008e-13	0.0		9e-12
54	0.0001	-0.00720001645424495	-2.0948403804519653e-13	0.0		9e-12
55	0.0001	-0.0036000018661135266	-2.042827830304957e-13	0.0		9e-12
56	0.0001	0.0035999981380405574	-2.007811900993717e-13	0.0		9e-12
57	0.0001	-0.0018000049119216654	-1.8139401158382433e-13	0.0		9e-12
58	0.0001	0.001799995086976758	-1.78268971897837e-13	0.0		9e-12
59	0.0001	-1.0666047010324143e-11	-1.3232805801216861e-13	0.0		9e-12
60	0.0001	0.005399994228572808	-6.885894781582335e-14	0.0		9e-12
61	0.0001	-0.005400005775596698	-6.885753764623172e-14	0.0		9e-12
62	0.0001	-0.005400000694427843	-2.5055966911711047e-14	0.0		9e-12
63	0.0001	0.005399999305900718	-2.497666734646038e-14	0.0		9e-12
64	0.0001	-0.0036000001894603137	-2.0580613166772512e-14	0.0		9e-12
65	0.0001	0.0035999998108900183	-2.0350326869731764e-14	0.0		9e-12
66	0.0001	-0.0018000005437909716	-7.434339965865668e-15	0.0		9e-12
67	0.0001	0.0017999994560820788	-7.068352387551963e-15	0.0		9e-12
68	0.0001	-5.672933175495514e-13	-6.4788180133602865e-15	0.0		9e-12
69	0.0001	-0.0054000000651982395	-4.291557405870133e-15	0.0		9e-12
70	0.0001	0.005399999934822169	-4.2785966727010774e-15	0.0		9e-12
71	0.0001	-0.003600000014905283	-1.5966808533524202e-15	0.0		9e-12
72	0.0001	0.0035999999851181507	-1.5851828747292145e-15	0.0		9e-12
73	0.0001	-0.005400000004747661	-4.780316192819742e-16	0.0		9e-12
74	0.0001	0.005399999995253313	-4.76675933587836e-16	0.0		9e-12
75	0.0001	-0.007200000021955748	-3.108870974972101e-16	0.0		9e-12
76	0.0001	0.007199999978072186	-2.969974516458988e-16	0.0		9e-12
77	0.0001	-2.2438911577503732e-14	-2.350803882725078e-16	0.0		9e-12
78	0.0001	-0.0018000000466124396	-2.262822813717534e-16	0.0		9e-12
79	0.0001	0.0017999999533753284	-2.0105647658036795e-16	0.0		9e-12
80	0.0001	-0.001800000003053045	-7.441572618095331e-17	0.0		9e-12
81	0.0001	0.001799999996946095	-7.368715996732473e-17	0.0		9e-12
82	0.0001	-0.0036000000009048863	-6.967098397293956e-17	0.0		9e-12
83	0.0001	0.003599999999096306	-6.868219162392869e-17	0.0		9e-12
84	0.0001	-0.007200000001489597	-3.982725455677332e-17	0.0		9e-12
85	0.0001	0.0071999999985120884	-3.8058132241432374e-17	0.0		9e-12
86	0.0001	0.005399999999732236	-3.177141134393074e-17	0.0		9e-12
87	0.0001	-0.0054000000002678164	-3.0512037240153154e-17	0.0		9e-12
88	0.0001	0.0017999999998485013	-7.222869658733125e-18	0.0		9e-12
89	0.0001	-0.0018000000001514524	-6.519898374084725e-18	0.0		9e-12
90	0.0001	-6.317045181778697e-16	-6.0183838252111744e-18	0.0		9e-12
91	0.0001	0.007199999999921585	-5.444448617159925e-18	0.0		9e-12
92	0.0001	-0.007200000000078609	-2.9010865530590564e-18	0.0		9e-12
93	0.0001	0.0035999999999580586	-2.8536747264114204e-18	0.0		9e-12
94	0.0001	-0.0036000000000419854	-2.5046325051189454e-18	0.0		9e-12
95	0.0001	-0.005400000000000005	-1.5578796269989897e-18	0.0		9e-12
96	0.0001	-0.005400000000011512	-1.2527648208966836e-18	0.0		9e-12
97	0.0001	0.005399999999988517	-1.2475817010396122e-18	0.0		9e-12
98	0.0001	-0.0018000000000055522	-7.714135478996968e-19	0.0		9e-12
99	0.0001	-0.003599999999999995	-6.858909714112222e-19	0.0		9e-12
100	0.0001	-0.007200000000003168	-6.608114727019385e-19	0.0		9e-12
101	0.0001	0.003600000000000007	-6.024679446732984e-19	0.0		9e-12
102	0.0001	0.007200000000000009	-5.981830494069402e-19	0.0		9e-12
