	BunchCurrent	eigvals_re	eigvals_im	Qp	FinalBunchLength	BunchLength
0	0.0012	-0.0023693511181391972	-1.1045987400825678e-06	0.1		1.5e-11
1	0.0012	-0.002175812945753618	-3.8195275154528644e-07	0.1		1.5e-11
2	0.0012	-0.002227701697211094	-3.313146639921851e-07	0.1		1.5e-11
3	0.0012	0.00205994733135804	-2.771675437572572e-07	0.1		1.5e-11
4	0.0012	-0.006406669009248746	-1.3334902344496016e-07	0.1		1.5e-11
5	0.0012	-0.00437888206260153	-1.309049401034902e-07	0.1		1.5e-11
6	0.0012	0.002009786039026085	-1.238277759297647e-07	0.1		1.5e-11
7	0.0012	-0.002144953067799212	-1.1109387059404277e-07	0.1		1.5e-11
8	0.0012	-0.006447084869097558	-1.0308999234121136e-07	0.1		1.5e-11
9	0.0012	-0.008508293884431363	-1.0290749873761396e-07	0.1		1.5e-11
10	0.0012	0.006302398372732802	-9.580958431530334e-08	0.1		1.5e-11
11	0.0012	-0.002127607517946372	-7.342807496968154e-08	0.1		1.5e-11
12	0.0012	0.008434974134005154	-7.190499454608303e-08	0.1		1.5e-11
13	0.0012	-0.012743532188695342	-6.773777668582019e-08	0.1		1.5e-11
14	0.0012	-0.010638570558564252	-6.475405129137074e-08	0.1		1.5e-11
15	0.0012	0.002090412459736539	-6.181905788376263e-08	0.1		1.5e-11
16	0.0012	-0.00853812691392821	-6.060013680143611e-08	0.1		1.5e-11
17	0.0012	0.0021077105783499084	-5.251935879992223e-08	0.1		1.5e-11
18	0.0012	-0.004275689082111733	-4.959637328005027e-08	0.1		1.5e-11
19	0.0012	0.012670676355508203	-4.179938952940454e-08	0.1		1.5e-11
20	0.0012	0.010541720557387337	-3.5741019409415246e-08	0.1		1.5e-11
21	0.0012	-0.012713243067986565	-2.1339019049463243e-08	0.1		1.5e-11
22	0.0012	0.0126990385672479	-1.8639099292774246e-08	0.1		1.5e-11
23	0.0012	-0.0021206024219845273	-1.835175290581972e-08	0.1		1.5e-11
24	0.0012	0.008408036006251557	-1.7849965696896066e-08	0.1		1.5e-11
25	0.0012	0.006266910099132603	-1.6335571214576094e-08	0.1		1.5e-11
26	0.0012	-0.010615086313316707	-1.4381771211943323e-08	0.1		1.5e-11
27	0.0012	-0.004241126649929649	-1.2543871659496906e-08	0.1		1.5e-11
28	0.0012	-0.010599597823323703	-1.2242344216870182e-08	0.1		1.5e-11
29	0.0012	0.0021147326807459893	-1.1438135698506679e-08	0.1		1.5e-11
30	0.0012	0.010577518708443673	-9.133743126680559e-09	0.1		1.5e-11
31	0.0012	0.004196735015432757	-7.378234698660524e-09	0.1		1.5e-11
32	0.0012	-0.008476998860000293	-7.220673790689238e-09	0.1		1.5e-11
33	0.0012	0.004229724522362486	-6.490134367037247e-09	0.1		1.5e-11
34	0.0012	-0.004236922990450447	-6.451407591848134e-09	0.1		1.5e-11
35	0.0012	0.008464549002162092	-5.493780707137374e-09	0.1		1.5e-11
36	0.0012	0.004233806356241509	-5.007429229507388e-09	0.1		1.5e-11
37	0.0012	-0.0021183713828201093	-4.0287170128912906e-09	0.1		1.5e-11
38	0.0012	-0.010592176119768835	-2.6004764155177732e-09	0.1		1.5e-11
39	0.0012	0.002116972700079452	-2.1738134120856735e-09	0.1		1.5e-11
40	0.0012	0.010584643143397764	-1.5047351375841934e-09	0.1		1.5e-11
41	0.0012	-0.0042356996272054255	-1.3543465936485044e-09	0.1		1.5e-11
42	0.0012	-0.0021178082306726204	-1.2395688191187336e-09	0.1		1.5e-11
43	0.0012	0.004235001266219985	-1.0955456409800792e-09	0.1		1.5e-11
44	0.0012	-0.010589421782315424	-1.0484110163030197e-09	0.1		1.5e-11
45	0.0012	-0.012708336912043795	-9.401715910764196e-10	0.1		1.5e-11
46	0.0012	0.010587329974290167	-9.019774999896722e-10	0.1		1.5e-11
47	0.0012	0.0021175383574777913	-8.387455666531645e-10	0.1		1.5e-11
48	0.0012	0.010562971817046771	-7.831128016790266e-10	0.1		1.5e-11
49	0.0012	-0.01270663804293786	-6.153365144722712e-10	0.1		1.5e-11
50	0.0012	0.012705452866584227	-4.951852110071667e-10	0.1		1.5e-11
51	0.0012	0.012703788843498829	-4.522480689560052e-10	0.1		1.5e-11
52	0.0012	-0.006353197470041455	-4.178126226251067e-10	0.1		1.5e-11
53	0.0012	0.006352845238119754	-3.8721387725811807e-10	0.1		1.5e-11
54	0.0012	-0.002117694868932416	-2.659024157132161e-10	0.1		1.5e-11
55	0.0012	0.0021176522323424823	-1.9472110868182825e-10	0.1		1.5e-11
56	0.0012	-0.012706170347304348	-1.7599301202155176e-10	0.1		1.5e-11
57	0.0012	0.01270591409933585	-1.6495907410748394e-10	0.1		1.5e-11
58	0.0012	-0.006353051459265227	-1.2176692543914728e-10	0.1		1.5e-11
59	0.0012	0.006352990251269149	-1.1876093205567852e-10	0.1		1.5e-11
60	0.0012	-0.012706064767446155	-4.335493687620041e-11	0.1		1.5e-11
61	0.0012	0.012706018584332502	-4.3153597122946274e-11	0.1		1.5e-11
62	0.0012	-0.010588609220979772	-3.5138439819120156e-11	0.1		1.5e-11
63	0.0012	-0.0021176763559149726	-3.147935727710518e-11	0.1		1.5e-11
64	0.0012	-0.008470709239583565	-3.0723655949556855e-11	0.1		1.5e-11
65	0.0012	0.01058812936166326	-3.021597687124943e-11	0.1		1.5e-11
66	0.0012	0.008470679673811602	-2.7703682329168164e-11	0.1		1.5e-11
67	0.0012	0.0021176708271632315	-2.1836196147899887e-11	0.1		1.5e-11
