	BunchCurrent	eigvals_re	eigvals_im	Qp	FinalBunchLength	BunchLength
0	0.0012	-4.011167654033113e-06	-7.067956617338843e-07	0.1		9e-12
1	0.0012	-6.328313579501119e-07	-1.6816042453971672e-08	0.1		9e-12
2	0.0012	-2.1873804144794504e-07	-5.61422647778494e-09	0.1		9e-12
3	0.0012	-5.115155238294668e-08	-1.267783928682626e-09	0.1		9e-12
4	0.0012	-0.0021188686854384784	-1.2182294106315035e-09	0.1		9e-12
5	0.0012	0.002117131261403903	-1.1891646352811038e-09	0.1		9e-12
6	0.0012	-0.002118333524705558	-5.555389746670508e-10	0.1		9e-12
7	0.0012	0.002117666280984286	-5.492999603171349e-10	0.1		9e-12
8	0.0012	-0.004236460575311577	-3.4871172499729384e-10	0.1		9e-12
9	0.0012	0.004235539212125095	-3.4623573494185495e-10	0.1		9e-12
10	0.0012	-0.00635428427491433	-2.495358253113798e-10	0.1		9e-12
11	0.0012	0.006353715190637917	-2.4837107236044203e-10	0.1		9e-12
12	0.0012	-0.004236188197997332	-2.016738328095765e-10	0.1		9e-12
13	0.0012	0.004235811436049531	-2.009690383578109e-10	0.1		9e-12
14	0.0012	-6.969711764021538e-09	-1.7966088695146857e-10	0.1		9e-12
15	0.0012	-0.002118020426847009	-1.2368996207781345e-10	0.1		9e-12
16	0.0012	0.002117979364101066	-1.2333188253355183e-10	0.1		9e-12
17	0.0012	-0.002118105659603374	-8.891983506499248e-11	0.1		9e-12
18	0.0012	0.002117894131227388	-8.706437545655941e-11	0.1		9e-12
19	0.0012	-0.006354025434748949	-8.58201927985155e-11	0.1		9e-12
20	0.0012	0.006353973941822566	-8.577389133429097e-11	0.1		9e-12
21	0.0012	-0.006354107600985018	-2.679726173765047e-11	0.1		9e-12
22	0.0012	0.00635389179371922	-2.6548175591089593e-11	0.1		9e-12
23	0.0012	-0.004236008883568495	-1.6997627892345187e-11	0.1		9e-12
24	0.0012	0.004235990700206858	-1.6970055394739193e-11	0.1		9e-12
25	0.0012	-0.0021180024527019674	-1.672104169832977e-11	0.1		9e-12
26	0.0012	0.002117997338534341	-1.667582311215574e-11	0.1		9e-12
27	0.0012	-5.83288910457091e-10	-1.1657990913401856e-11	0.1		9e-12
28	0.0012	-0.0063540037817508424	-2.6522783160173658e-12	0.1		9e-12
29	0.0012	0.006353995592283655	-2.647725557488704e-12	0.1		9e-12
30	0.0012	-0.0021180000886978963	-2.127661368275083e-12	0.1		9e-12
31	0.0012	0.0021179997025694906	-2.1236707026591187e-12	0.1		9e-12
32	0.0012	-0.006354000103052906	-1.2552453070790915e-12	0.1		9e-12
33	0.0012	0.006353999270767533	-1.2548784194070586e-12	0.1		9e-12
34	0.0012	-2.663749196669628e-11	-5.464046100260659e-13	0.1		9e-12
35	0.0012	-0.0042360008182276065	-3.7821164881132036e-13	0.1		9e-12
36	0.0012	0.004235998764416769	-3.7541793035431773e-13	0.1		9e-12
37	0.0012	-0.004235999862867645	-1.8907747698070737e-13	0.1		9e-12
38	0.0012	0.004235999719676849	-1.8881563416826485e-13	0.1		9e-12
39	0.0012	-0.0021179999039297927	-8.243531371937595e-14	0.1		9e-12
40	0.0012	0.0021179998873395857	-8.221944970169086e-14	0.1		9e-12
41	0.0012	-0.006353999713874032	-2.6893079619044576e-14	0.1		9e-12
42	0.0012	0.0063539996599347795	-2.6881045599272572e-14	0.1		9e-12
43	0.0012	-0.004235999794089797	-1.9731883251427285e-14	0.1		9e-12
44	0.0012	0.0042359997884493066	-1.9720793760083814e-14	0.1		9e-12
45	0.0012	-5.193423304349364e-13	-1.0856627524115683e-14	0.1		9e-12
46	0.0012	-0.00635399968789238	-3.457116369129993e-15	0.1		9e-12
47	0.0012	0.006353999685916072	-3.4568150041191924e-15	0.1		9e-12
48	0.0012	-0.002117999895787598	-1.8346566129324957e-15	0.1		9e-12
49	0.0012	0.0021179998954818716	-1.830136528233689e-15	0.1		9e-12
50	0.0012	0.004235999791221551	-3.929615259754453e-16	0.1		9e-12
51	0.0012	-0.004235999791317384	-3.9241048651719386e-16	0.1		9e-12
52	0.0012	-0.006353999686919778	-1.341402070694511e-16	0.1		9e-12
53	0.0012	0.006353999686888667	-1.3402707638505838e-16	0.1		9e-12
54	0.0012	-0.004236052216988034	1.2134028389349515e-11	0.1		9e-12
55	0.0012	0.004235947375744777	1.223544147833472e-11	0.1		9e-12
56	0.0012	-4.0042621333724985e-06	-6.610628581249779e-07	0.2		9e-12
57	0.0012	-6.317173246449597e-07	-1.5950274993769334e-08	0.2		9e-12
58	0.0012	-2.1826769031766858e-07	-5.4468289349468506e-09	0.2		9e-12
59	0.0012	-0.0021188710100959406	-3.2468713456771256e-09	0.2		9e-12
60	0.0012	0.002117128930938109	-3.1856828227995132e-09	0.2		9e-12
61	0.0012	-0.002118334397124964	-1.4433888813653986e-09	0.2		9e-12
62	0.0012	0.0021176654075535477	-1.4300015099173627e-09	0.2		9e-12
63	0.0012	-5.0922093957705906e-08	-1.0519940074495258e-09	0.2		9e-12
64	0.0012	-0.004236460692470967	-6.959876782432766e-10	0.2		9e-12
65	0.0012	0.004235539095609061	-6.908327148311621e-10	0.2		9e-12
66	0.0012	-0.006354284314917043	-4.987109374901992e-10	0.2		9e-12
67	0.0012	0.006353715150705521	-4.963806247357007e-10	0.2		9e-12
68	0.0012	-0.0042361882780912715	-4.016233263174355e-10	0.2		9e-12
69	0.0012	0.004235811356344667	-4.0005743962483795e-10	0.2		9e-12
70	0.0012	-0.0021181060649735858	-3.6001532441578045e-10	0.2		9e-12
71	0.0012	0.0021178937256815665	-3.558860124544202e-10	0.2		9e-12
72	0.0012	-0.0021180205828456437	-2.9875743236194185e-10	0.2		9e-12
73	0.0012	0.0021179792081256112	-2.979254587513253e-10	0.2		9e-12
74	0.0012	-0.006354025452655863	-1.693047534840667e-10	0.2		9e-12
75	0.0012	0.006353973923920733	-1.6921084149455523e-10	0.2		9e-12
76	0.0012	-6.932870741162368e-09	-1.6804699327316486e-10	0.2		9e-12
77	0.0012	-0.0063541076009439755	-5.457555540668337e-11	0.2		9e-12
78	0.0012	0.006353891793784424	-5.407482417063511e-11	0.2		9e-12
79	0.0012	-0.002118002479146605	-4.2521249116657756e-11	0.2		9e-12
